URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/cda/stds/core/ValueSet/CDANullFlavor,2.0.0-sd-snapshot1,draft,,CDANullFlavor,CDANullFlavor,"CDA NullFlavors - limited to values allowed in original CDA definition","StructureDefinition/CDAPatient","THO (V3)"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/at-core-patient,StructureDefinition/at-core-address","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/at-core-patient,StructureDefinition/at-core-address","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/PatientHI,StructureDefinition/at-core-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/at-core-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/at-core-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/at-core-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/at-core-patient","hl7.terminology"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/at-core-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/at-core-patient","THO (V3)"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/at-core-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,4.0.1,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/at-core-patient","THO (V2)"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/at-core-patient","hl7.fhir.r4.core"
http://terminology.hl7.org/ValueSet/v3-AdministrativeGender,2.0.0,active,"2.16.840.1.113883.1.11.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for adminstrative purposes (as opposed to clinical gender)","StructureDefinition/CDAPatient","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-EntityClassLivingSubject,2.0.0,active,"2.16.840.1.113883.1.11.10884",EntityClassLivingSubject,EntityClassLivingSubject,"Anything that essentially has the property of life, independent of current state (a dead human corpse is still essentially a living subject.)","StructureDefinition/CDAPatient","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-EntityCode,0.2.0,active,"2.16.840.1.113883.1.11.16040",EntityCode,EntityCode,"A value representing the specific kind of Entity the instance represents.    *Examples:* A medical building, a Doberman Pinscher, a blood collection tube, a tissue biopsy.    *Rationale:* For each Entity, the value for this attribute is drawn from one of several coding systems depending on the Entity classCode, such as living subjects (animal and plant taxonomies), chemical substance (e.g., IUPAC code), organizations, insurance company, government agency, hospital, park, lake, syringe, etc. It is possible that Entity.code may be so fine grained that it represents a single instance. An example is the CDC vaccine manufacturer code, modeled as a concept vocabulary, when in fact each concept refers to a single instance.",,
http://terminology.hl7.org/ValueSet/v3-EntityDeterminer,2.0.0,active,"2.16.840.1.113883.1.11.10878",EntityDeterminer,EntityDeterminer,"EntityDeterminer in natural language grammar is the class of words that comprises articles, demonstrative pronouns, and quantifiers. In the RIM, determiner is a structural code in the Entity class to distinguish whether any given Entity object stands for some, any one, or a specific thing.","StructureDefinition/CDAPatient","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-Ethnicity,2.0.0,active,"2.16.840.1.113883.1.11.15836",Ethnicity,Ethnicity,"In the United States, federal standards for classifying data on ethnicity determine the categories used by federal agencies and exert a strong influence on categorization by state and local agencies and private sector organizations. The federal standards do not conceptually define ethnicity, and they recognize the absence of an anthropological or scientific basis for ethnicity classification. Instead, the federal standards acknowledge that ethnicity is a social-political construct in which an individual's own identification with a particular ethnicity is preferred to observer identification. The standards specify two minimum ethnicity categories: Hispanic or Latino, and Not Hispanic or Latino. The standards define a Hispanic or Latino as a person of ""Mexican, Puerto Rican, Cuban, South or Central America, or other Spanish culture or origin, regardless of race."" The standards stipulate that ethnicity data need not be limited to the two minimum categories, but any expansion must be collapsible to those categories. In addition, the standards stipulate that an individual can be Hispanic or Latino or can be Not Hispanic or Latino, but cannot be both.","StructureDefinition/CDAPatient","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-MaritalStatus,2.0.0,active,"2.16.840.1.113883.1.11.12212",MaritalStatus,MaritalStatus,"The domestic partnership status of a person.    *Example:*Married, separated, divorced, widowed, common-law marriage.","StructureDefinition/CDAPatient","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-MaterialEntityClassType,2.0.0,active,"2.16.840.1.113883.1.11.16041",MaterialEntityClassType,MaterialEntityClassType,"Types of Material for EntityClass ""MAT""","ValueSet/v3-EntityCode","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-OrganizationEntityType,2.0.0,active,"2.16.840.1.113883.1.11.19608",OrganizationEntityType,OrganizationEntityType,"Further classifies entities of classCode ORG.","ValueSet/v3-EntityCode","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-PlaceEntityType,2.0.0,active,"2.16.840.1.113883.1.11.16100",PlaceEntityType,PlaceEntityType,"Types of places for EntityClass ""PLC""","ValueSet/v3-EntityCode","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-Race,2.0.0,active,"2.16.840.1.113883.1.11.14914",Race,Race,"In the United States, federal standards for classifying data on race determine the categories used by federal agencies and exert a strong influence on categorization by state and local agencies and private sector organizations. The federal standards do not conceptually define race, and they recognize the absence of an anthropological or scientific basis for racial classification. Instead, the federal standards acknowledge that race is a social-political construct in which an individual's own identification with one more race categories is preferred to observer identification. The standards use a variety of features to define five minimum race categories. Among these features are descent from ""the original peoples"" of a specified region or nation. The minimum race categories are American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, and White. The federal standards stipulate that race data need not be limited to the five minimum categories, but any expansion must be collapsible to those categories.","StructureDefinition/CDAPatient","THO (V3)"
